,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate,CompletionDate,Country_Name
38,39,NCT04618406,Negative-Pressure Wound Therapy|Amputation|Wound Heal,The Effect of Negative Pressure Wound Therapy on Wound Healing in Major Amputations of the Lower Limb,Device,,September 2021,March 2022,
39,40,NCT00448903,"Foot Ulcer, Diabetic",Clinical Trial to Evaluate the Efficacy and Safety of Sodium Bemiparin for Treatment of Diabetic Foot Ulcers,Drug,Croatia|Poland|Romania|Russian Federation|Serbia|Spain,March 2007,April 2010,Croatia
40,41,NCT01710774,Diabetic Foot|Foot Ulcer,Telemedicine Follow-up in Primary Health Care for Diabetes-related Foot Ulcers,Procedure,Norway|Norway|Norway,April 2012,December 2024,Norway
41,42,NCT03654989,Diabetic Foot Ulcer,Iontophoresis of Treprostinil to Enhance Wound Healing in Diabetic Foot Skin Ulcers,Drug,France,"January 28, 2020",September 2023,France
42,43,NCT02463487,Diabetic Foot Ulcers,Negative Pressure Wound Therapy as a Drug Delivery System,Device,United States,"June 2, 2015","August 1, 2020",United States
43,44,NCT03909802,Diabete Mellitus|Diabetic Foot,Effect of Self- and Family Management of Diabetic Foot Ulcers Programs on Health Outcomes,Behavioral,Indonesia,"July 6, 2019","December 10, 2019",Indonesia
44,45,NCT04547348,Charcot Foot|Diabetes Mellitus,The DENOCHARCOT Trial,Drug,Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Denmark,"November 1, 2020","October 1, 2026",Denmark
45,46,NCT01472432,Chronic Foot Ulcers,DPP IV Inhibition Facilitates Healing of Chronic Foot Ulcers in Type 2 Diabetes,Drug,Italy,May 2011,January 2016,Italy
46,47,NCT01232673,Critical Limb Ischemia,Autologous Bone Marrow Stem Cell Transfer in Patients With Chronical Critical Limb Ischemia and Diabetic Foot,Procedure,,October 2008,December 2010,
47,48,NCT01389362,Diabetic Foot Ulcer,The Healing Effect of a Two-Herb Recipe on Foot Ulcer in Chinese Patients With Type 2 Diabetes,Drug,China,May 2009,May 2011,China
48,49,NCT02626156,Venous Hypertension Ulcers|Venous Stasis Ulcer|Venous Ulcer|Venous Insufficiency|Leg Ulcer|Foot Ulcer|Varicose Ulcer|Diabetic Foot,Cooling Leg and Foot Ulcer Skin Post Healing to Prevent Ulcer Recurrence,Device,United States|United States,"June 1, 2015","March 31, 2020",United States
49,50,NCT04782934,Diabetes Mellitus|Glucose,The GLOW Study - The YANG System,Device,Belgium,"February 25, 2021","June 19, 2021",Belgium
50,51,NCT03644849,Leg Ulcer,Evaluating the Safety and Efficacy of Fractionated Carbon Dioxide Therapy in Postoperative Lower Extremity Wound Healing,Device,United States,"September 28, 2018","November 19, 2020",United States
51,52,NCT03476876,Diabetic Foot Ulcer|Deep Diabetic Foot Ulcer,Comparative Effectiveness of Two Acellular Matrices (Dermacell vs. Integra) for Management of Deep Diabetic Foot Ulcers,Device,United States,"April 2, 2018","March 15, 2022",United States
52,53,NCT04232631,Diabetic Foot Ulcer,Non-Invasive Testing to Evaluate Wound Healing in Diabetes,Device,United States,"April 28, 2021",September 2022,United States
53,54,NCT01353937,Diabetic Ulcer,Endogenous Progenitors Cell Therapy for Diabetic Foot Ulcers,Drug,United States,April 2014,September 2016,United States
54,55,NCT02732886,Diabetes Mellitus|Foot Ulcer,Betafoam Diabetes Mellitus Foot Study,Device,"Korea, Republic of","March 29, 2016","September 29, 2017","Korea, Republic of"
55,56,NCT02577120,Chronic Wound|Burn Wound|Diabetic Foot Ulcers|Pressure Ulcers|Venous Leg Ulcers|Chronic|Wound,Wound Healing Endpoint and Recurrence,Device,United States,"January 9, 2019",December 2023,United States
56,57,NCT03640988,Diabetic Foot Ulcer,The Effects of High Energy Acoustic Shock Wave Therapy on Local Skin Perfusion and DFUs,Device,,"September 3, 2018","May 1, 2019",
57,58,NCT02329366,Diabetic Foot Ulcer|Type 2 Diabetes,Development of a Cellular Biomarker for the Diagnosis and Treatment of Diabetic Foot Ulcers,Other,United States,December 2014,December 2020,United States
58,59,NCT04257565,Diabetes Mellitus,Wheeling to Healing: A Novel Method for Improving Healing of Diabetic Foot Ulceration,Device,Canada,"October 1, 2021","September 30, 2023",Canada
59,60,NCT04280016,Diabetic Foot Ulcer,The Effect of Exercise on Wound Healing While Off-loading,Behavioral,United States,March 2020,May 2021,United States
60,61,NCT00953186,Diabetes|Foot Ulcer|Healing,Hyperbaric Oxygen Therapy as Adjunctive Treatment of Chronic Diabetic Foot Ulcers,Device,Sweden,June 2002,June 2009,Sweden
61,62,NCT00065663,Wounds and Injuries|Diabetes|Diabetic Foot Ulcers|Foot Wounds,Gene Therapy to Improve Wound Healing in Patients With Diabetes,Genetic,United States|United States,August 2002,December 2004,United States
62,63,NCT02211495,Diabetes,ULCERS - Electrical Stimulation in Diabetic Foot Ulceration,Device,United Kingdom,July 2014,December 2015,United Kingdom
63,64,NCT02870816,Diabetic Foot Ulcer,"Prospective, Comparitive, Randomized Study of Allograft Versus Skin Substitute in Non-healing Diabetic Foot Ulcers",Procedure,United States|United States|United States,August 2016,May 2018,United States
64,65,NCT02058641,Atherosclerosis,Effect of Darapladib on Cantharidin-Induced Inflammatory Blisters in Subjects With Type 2 Diabetes Mellitus (T2DM),Drug,United Kingdom,"February 26, 2014","August 18, 2014",United Kingdom
65,66,NCT01105884,Diabetic Foot Ulcers,Clinical and Cost Effectiveness of Different Dressing Materials in Diabetic Foot Ulcers,Procedure,India,October 2009,July 2012,India
66,67,NCT04133493,Diabetic Foot Ulcer,Omega3 Wound Fish Skin Graft in the Treatment of DFUs,Device,United States|United States|United States|United States|United States,"July 31, 2019","January 30, 2021",United States
67,68,NCT03649243,"Diabetes Mellitus, Type 2",Propolis as Adjuvant in the Healing of Human Diabetic Foot Wounds,Drug,,October 2015,March 2017,
68,69,NCT04698720,Diabetes Mellitus|Diabetic Foot Ulcer,Contribution of Psychological Factors in the Healing of the Diabetic Foot Ulcer,Behavioral,Portugal|Portugal,"February 1, 2019","July 31, 2022",Portugal
69,70,NCT02866565,Diabetic Foot Ulcer,Assessment of the Efficacy and Tolerance of Sub-cutaneous Re-injection of Autologous Adipose-derived REGEnerative Cells in the Local Treatment of Neuropathic Diabetic Foot ulcERs,Drug,France,February 2017,November 2019,France
70,71,NCT04834245,Diabetes Mellitus,Evaluation of Diabetic Foot Wound Healing Using Hydrogel/Nano Silver-based Dressing vs. Traditional Dressing,Procedure,Egypt,"January 3, 2019","December 30, 2019",Egypt
71,72,NCT02070835,Diabetic Foot Ulcer,Study of ReCell® Treating for Diabetic Foot Ulcers,Device,China,March 2013,June 2016,China
72,73,NCT04257370,Diabetic Foot Ulcer|Dehiscence of Amputation Stump|Amputation,Kerecis Omega3 Wound Plus SOC vs. SOC Alone in Treating Severe Diabetic Foot Ulcers and Forefoot Amputations,Device,France,"July 9, 2020",October 2022,France
73,74,NCT02423850,"Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2|Diabetes Complications|Diabetic Foot",Three-dimensional Measurements of Diabetic Foot Ulcers,Device,Denmark,August 2015,December 2018,Denmark
74,75,NCT00355823,Wounds,Bioelectric Field Imaging Near Human Skin Wounds,,United States,August 2006,April 2007,United States
75,76,NCT02839226,Wounds|Other Ulcers Wounds and Skin Problems,"Safety and Efficacy of Topical AR/101 Compared With Placebo, in Accelerating Granulation Tissue Formation of Hard-to-heal Wounds",Drug,Israel,August 2016,December 2017,Israel
76,77,NCT00304733,Neuropathic Foot Ulceration in Individuals With Diabetes,Wound Healing: Total Contact Cast Vs. Custom-Made Temporary Footwear for Patients With Diabetic Foot Ulceration,Device,Netherlands,August 2001,April 2005,Netherlands
77,78,NCT00434616,Peripheral Vascular Disease|Diabetic Foot|Peripheral Arterial Occlusive Disease|Leg Ulcer|Gangrene|Ischemia,"Autologous Bone Marrow Stem Cell Transplantation for Critical, Limb-threatening Ischemia",Procedure,Germany,April 2007,July 2011,Germany
78,79,NCT01818310,Critical Lower Limb Ischemia|Type-2 Diabetes Mellitus,Safety and Efficacy Study of Autologous Bone Marrow Aspirate Concentrate for No-Option Critical Limb Ischemia,Biological,Czechia,September 2012,October 2018,Czechia
79,80,NCT02015910,Type II Diabetes,Januvia (Sitagliptin) in Healing Chronic Diabetic Foot Ulcers,Drug,United States,January 2014,January 2015,United States
80,81,NCT04154020,Diabetic Foot Ulcer|Hammer Toe|Mallet Toe|Claw Toe,"Treatment of Ulcers Associated With Hammer, Mallet and Claw Toe Deformities in the Diabetic Patient Setting",Procedure,Denmark|Denmark|Denmark,"November 30, 2019","October 31, 2022",Denmark
81,82,NCT00521937,Diabetes|Foot Ulcer,Efficacy and Safety Study of DERMAGEN® vs Conventional Treatment to Treat Diabetic Neuropathic Foot Ulcer,Other,France|France|France|France|France|France|France,January 2009,December 2010,France
82,83,NCT03150901,Diabetic Foot,Role of Adiponectine in Pathophysiology Ogf Diabetic Foot,Diagnostic Test,,"February 20, 2015","February 1, 2017",
83,84,NCT01418456,Diabetes|Foot Ulcers|Infection,Outcomes of Non-infected Diabetic Foot Ulcers With/Without Antibiotics,Drug,,August 2011,February 2012,
84,85,NCT00134550,Foot Ulcer|Diabetes,Improving Diabetic Foot Ulcers With Atorvastatin,Drug,Norway|Norway,February 2005,March 2007,Norway
85,86,NCT03085550,Diabetes Mellitus Foot Ulcer,Platelet Rich Plasma and Autologous Fat Graft for Diabetic Ulcer,Procedure,United Kingdom,"February 1, 2018","October 28, 2019",United Kingdom
86,87,NCT02071979,Diabetic Foot Ulcers|Venous Ulcers|Pressure Ulcers,Registry Trial of the Effectiveness of Platelet Rich Plasma for Chronic Non-Healing Wounds,Device,United States|United States|United States|United States|United States|United States,April 2014,,United States
87,88,NCT01483352,"Diabetes Mellitus, Type 1","Evaluation of Accu-Chek DiaPort, a Port System for Continuous Intraperitoneal Insulin Infusion, in Patients With Type I Diabetes",Device,Germany,November 2011,March 2013,Germany
88,89,NCT04163055,Diabetic Foot Ulcer,Fluorescence Image-Guided Healing Trial,Device,,"January 1, 2021","December 31, 2022",
89,90,NCT02134132,Diabetic Foot Ulcers,Utilization of Platelet Gel for Treatment of Diabetic Foot Ulcers,Biological,"Iran, Islamic Republic of",January 2012,April 2014,"Iran, Islamic Republic of"
90,91,NCT04652999,Diabetes Mellitus|Diabetic Foot Ulcer,Relaxation Intervention in Patients With Diabetic Foot Ulcer,Behavioral,Portugal|Portugal,"March 19, 2019","July 31, 2021",Portugal
91,92,NCT01586481,Diabetes Mellitus|Diabetic Neuropathic Foot Ulcer,Off- Loading Shoe to Improve Healing and Prevention of Recurrence of Neuropathic Diabetic Plantar Foot Ulcers,Device,France,June 2011,February 2013,France
92,93,NCT04323462,Diabetic Foot Ulcer,Intensive Glycemic Control For Diabetic Foot Ulcer Healing,Drug,India|India,September 2021,December 2022,India
93,94,NCT01350102,"Diabetes, Type 1|Diabetes, Type 2|Foot Ulcer, Diabetic",The Relationship of Hemoglobin A1c and Diabetic Wound Healing,Drug,United States,February 2012,March 2014,United States
94,95,NCT00804414,Diabetes|Diabetic Ulcer,"Efficacy and Safety Study of Soluble Beta-1,3/1,6-glucan (SBG) Versus Placebo in Chronic Diabetic Foot Ulcers",Drug,Spain,October 2008,September 2009,Spain
95,96,NCT02165579,Diabetes|Foot Ulcer|Osteomyelitis,Osteomyelitis: Procalcitonin to Diagnose and Monitor Osteomyelitis,Other,United States,June 2014,December 2014,United States
96,97,NCT00614341,Diabetic Peripheral Neuropathy,"Effect of Pulsing Electrical Fields on Lower Extremity Diabetic Neuropathy: A Pilot, Open-Label Study",Device,United States,May 2006,January 2008,United States
97,98,NCT04085705,Diabetic Foot|Contact Allergy,The Prevalence of Contact Allergies for Wound Dressings In Patients With Diabetic Foot Ulcers (PAID Study),Diagnostic Test,Netherlands,September 2019,December 2021,Netherlands
98,99,NCT01342497,Diabetic Foot Ulcer,"Oral BBR-012 in the Treatment of Diabetic Foot Ulcers, Proof of Concept Study",Drug,United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,July 2011,August 2012,United Kingdom
99,100,NCT00366132,Chronic Diabetic Foot Ulcers,Safety & Efficacy Study for the Use of Extracorporeal Shockwaves in the Treatment of Diabetic Foot Ulcers,Device,United States|United States|United States|United States|United States,March 2006,,United States
100,101,NCT03166423,Diabetic Foot Ulcer,Efficacy and Safety of Snail Slime and Natural Extracts for Healing in Diabetic Foot Ulcers,Drug,Chile|Chile|Chile|Chile,"November 12, 2015","July 1, 2017",Chile
101,102,NCT03739255,Corneal Erosion,Facilitation of Corneal Re-epithelialization After Photorefractive Keratectomy,Device,,"March 1, 2020","July 31, 2021",
102,103,NCT01924806,Lower Leg Wound,A Pilot Study of the WoundWand™ Debridement Device on Infection Prevention,Device,France|United Kingdom,"March 4, 2014","February 9, 2015",France
103,104,NCT02328508,Diabetic Foot Ulcer|Diabetes,Hyperbaric Oxygen Therapy in Diabetics With Chronic Foot Ulcers and Improvement of Quality of Life,Device,,June 2011,June 2013,
104,105,NCT00069446,Foot Ulcer,"A Study Evaluating Topical Recombinant Human Vascular Endothelial Growth Factor (Telbermin) for Induction of Healing of Chronic, Diabetic Foot Ulcers",Drug,,August 2003,October 2004,
105,106,NCT03700580,"Diabetic Foot|Neuropathy, Diabetic|Foot Ulcer",Clinical Trial Using the Proteolytic Fraction P1G10 From V. Cundinamarcensis to Heal Diabetic Foot Ulcer,Drug,Brazil,"August 15, 2012","October 15, 2016",Brazil
106,107,NCT00001905,Leukocyte Adhesion Deficiency Syndrome,Interferon Gamma to Treat Leukocyte Adhesion Deficiency Type I,Drug,United States,April 1999,March 2002,United States
107,108,NCT00292357,Diabetic Foot|Diabetes Complications,Local Application of Autologous Bone Marrow Cells for Treatment of Chronic Diabetic Ulcers,Procedure,Germany,,,Germany
108,109,NCT03816618,Diabetic Foot,The Healing Effects Of Honey and Hydrogel Products On The Diabetic Foot,Drug,Saudi Arabia|Saudi Arabia,"September 1, 2019","February 1, 2021",Saudi Arabia
109,110,NCT03627702,Light; Therapy; Bedsore,Treatment of Bedsores With VIP Light,Radiation,,"October 6, 2016","November 21, 2017",
110,111,NCT04145154,Chronic Skin Ulcer|Diabetic Foot|Plasma Protein; Transport Protein,Plasma and Scarring of Diabetic Ulcers,Other,Mexico,"June 5, 2018",February 2020,Mexico
111,112,NCT00545896,Chronic Nonhealing Wounds,Extracorporeal Shockwave Treatment for Chronic Soft Tissue Wounds,Procedure,Austria,September 2003,September 2010,Austria
112,113,NCT02224742,Diabetic Foot Ulcer,LeucoPatch in the Management of Hard-to-heal Diabetic Foot Ulcers,Device,Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Denmark|Sweden|Sweden|Sweden|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,August 2013,May 2018,Denmark
113,114,NCT02967900,Diabetic Foot Ulcer,Longitudinal Study of Chronic Wounds Using Novel Wound Measurement Technologies,,United Kingdom,"October 1, 2017","March 1, 2018",United Kingdom
114,115,NCT04828304,Diabetic Foot Ulcer|Venous Leg Ulcer|Pressure Ulcer|Burn Wound|Skin Graft|Infected Surgical Wound|Skin Flap,PLASOMA Ultimate Safety & Efficacy Study,Device,Netherlands|Netherlands|Netherlands,"May 26, 2021",April 2023,Netherlands
115,116,NCT01608425,Diabetes Mellitus|Foot Ulcers,Ulcer Monitoring in Diabetes Mellitus,Procedure,Denmark|Denmark|Denmark|Denmark|Denmark|Denmark,April 2011,November 2013,Denmark
116,117,NCT01814267,Diabetes|Diabetic Foot Ulcer,Medico-economical Assessment of Telemedicine During Chronic Diabetes-related Foot Wound Management,Other,France,March 2013,June 2015,France
117,118,NCT02233179,Diabetic Foot,"The Association Between Unprotected Standing, Walking and Wound Healing in Diabetes",Device,United States,June 2009,November 2012,United States
118,119,NCT00330265,Foot Ulcer|Diabetes,Safety and Efficacy Study of an Interactive Wound Dressing (KC002) for the Treatment of Diabetic Foot Ulcers,Device,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,January 2006,September 2009,United States
119,120,NCT01518205,Foot Ulcers|Arteriosclerosis Obliterans|Diabetes Mellitus,HELP-Apheresis in Diabetic Ischemic Foot Treatment (H.A.D.I.F),Device,Italy,February 2012,December 2015,Italy
120,121,NCT03574935,"Diabetic Foot|Ulcer, Skin","Clinical Evaluation and Generalized Application of ""Qing-Hua-Bu"" Three Dynamic Sequential Therapy of Diabetic Ulcer",Drug,,"July 1, 2018","October 30, 2019",
121,122,NCT03509870,Diabetic Foot Ulcer,Bone Marrow Derived Allogeneic Mesenchymal Stromal Cells to Non-healing Diabetic Foot Wounds,Biological,Denmark,"June 1, 2018","April 1, 2020",Denmark
122,123,NCT02184455,Diabetes Type I|Diabetes Type II,Feasibility Study of DermGEN for Diabetic Foot Ulcer Treatment,Biological,Canada|Canada,"July 1, 2016","May 1, 2017",Canada
123,124,NCT04723134,Diabetic Foot Ulcer,"Evaluation of a Folic Acid Wound Treatment (FAWT) for Chronic, Early-Stage Diabetic Foot Ulcer (DFU) Healing",Combination Product,United States,"March 1, 2021",March 2022,United States
124,125,NCT03740581,Diabetic Foot Ulcer,Intensive Versus Conventional Glycemic Control in Diabetic Foot Ulcer Healing,Drug,India,"November 1, 2017","June 30, 2019",India
125,126,NCT04831606,Diabetic Foot Ulcer,Blue Light Photobiomodulation Therapy on Neuroischemic Patients,Procedure,Italy,"July 31, 2021",August 2022,Italy
126,127,NCT04285710,Diabetic Foot|Diabetic Foot Ulcer|Diabetes|Diabetes Mellitus|Infected Wound|Infected Ulcer of Skin,Adjunctive Phototherapy Treatment of Infected Diabetic Ulcers,Device,United States,June 2021,April 2022,United States
127,128,NCT02785198,Diabetic Foot Ulcers,Passive Training as a Treatment for Diabetic Foot Ulcers,Device,Denmark,April 2016,July 2018,Denmark
128,129,NCT02845466,"Venous Ulcer|Foot Ulcer, Diabetic",Study of Combined Topical Growth Factor and Protease Inhibitor in Chronic Wound Healing,Biological,Canada,August 2018,September 2020,Canada
129,130,NCT03916211,Diabetes Mellitus Foot Ulcer,Clinical Study of Adipose-derived Stem Cells in the Treatment of Diabetic Foot,Biological,,"April 20, 2019","March 31, 2020",
130,131,NCT01011387,Diabetes|Foot Ulcers,Evaluation of Negative Pressure Wound Therapy in the Treatment of DFUs Incl. Post Amputation Wounds.,Procedure,United Kingdom|United Kingdom,January 2010,July 2010,United Kingdom
131,132,NCT00537498,Diabetic Foot|Arterial Occlusive Disease|Ischemia,Urokinase Therapy in Diabetic Foot Syndrome,Drug,Germany,February 2002,December 2006,Germany
132,133,NCT03782155,Wound Healing|Diabetic,Effect of Supplementation With HMB and Glutamine in Wound Healing on Bloody Areas,Drug,Mexico,"June 1, 2021","December 31, 2021",Mexico
133,134,NCT02749942,Peripheral Arterial Disease,RISCAID Study: Remote ISchemic Conditioning for Angiopathy In Diabetes,Device,Denmark,"May 11, 2016","July 11, 2017",Denmark
134,135,NCT01831804,Wound Healing,"Safety, Tolerability, Pharmacokinetics and Pharmacodynamics Study of Single and Repeated Doses of Topical GSK1278863",Drug,United States|United States|United States|United States|United States|United States|United States,"June 17, 2013","February 10, 2017",United States
135,136,NCT02389010,Diabetic Foot Ulcers,Clinical Efficacy of Platelet Gel From Cord Blood for the Treatment of Diabetic Foot Ulcers,Biological,Italy|Italy|Italy|Italy|Italy|Italy|Italy|Italy|Spain,January 2015,February 2017,Italy
