,NCTId,Condition,BriefTitle,InterventionType,StartDate,CompletionDate,Country_Name,Continent_Name,Continent_Code
90,NCT03269968,"Obesity, Morbid|Wound Infection|Wound Complication",Use of Negative Pressure Wound Therapy in Morbidly Obese Women After Cesarean Delivery,Device,"October 3, 2017","June 30, 2019",United States,North America,
91,NCT00926068,Diabetic Foot Ulcer,Safety and Efficacy of HO/03/03 10μg in the Treatment of Plantar Neuropathic Diabetic Foot Ulcers,Drug,February 2010,,United States,North America,
92,NCT03742440,Diabetic Foot Ulcer,GrafixPL PRIME Evaluation Case Study,Biological,"November 20, 2018","March 1, 2020",United States,North America,
93,NCT04210089,"Diabetic Foot Ulcer|Diabetes Mellitus|Foot Ulcer|Foot Ulcer, Diabetic|Ulcer|Ulcer Foot|Ulcer, Leg|Ankle Ulcer",Total Contact Soft Cast in Diabetic Foot Ulcers,Device,"April 1, 2021","April 1, 2023",United States,North America,
94,NCT00815217,Diabetic Wounds|Venous Stasis Wounds,The Role of Lipoaspirate Injection in the Treatment of Diabetic Lower Extremity Wounds and Venous Stasis Ulcers,Procedure,February 2009,February 2010,United States,North America,
95,NCT02322554,Diabetic Foot Ulcers|Venous Stasis Ulcer|Pressure Ulcer|Chronic Non Healing Wound|Surgical Wound Dehiscence,Cellular and Tissue Based Therapy Registry,Biological,January 2005,,United States,North America,
96,NCT00924508,Eczema,Hydrogel Patch for the Treatment of Eczema,Device,July 2008,July 2012,United States,North America,
97,NCT02910011,"Dermatitis, Atopic",Topical NanoDox® for Atopic Dermatitis,Drug,"May 18, 2017","November 30, 2018",United States,North America,
98,NCT02322086,Psoriasis,A Phase 2 Study of Cellular and Immunologic Changes in the Skin of Subjects Receiving PH-10,Drug,January 2015,June 2017,United States,North America,
99,NCT00941278,Psoriasis,An Efficacy and Safety Study of PH-10 Aqueous Hydrogel for the Treatment of Plaque Psoriasis,Drug,July 2009,April 2010,United States,North America,
100,NCT02854540,Hyperhidrosis|Hyperhidrosis Palmaris et Plantaris,Management of Palmar Hyperhidrosis With Hydrogel-based Iontophoresis,Device,August 2016,"August 30, 2018",United States,North America,
101,NCT01247818,Psoriasis,Randomized Study of PH-10 for Psoriasis,Drug,December 2010,March 2012,United States,North America,
102,NCT00924950,Plaque Psoriasis|Psoriasis Vulgaris,Taclonex Ointment With Hydrogel Patch Occlusion for the Treatment of Psoriasis,Drug,June 2009,December 2009,United States,North America,
103,NCT00690807,Atopic Dermatitis,A Phase 2 Study of PH-10 for the Treatment of Atopic Dermatitis,Drug,June 2008,September 2009,United States,North America,
104,NCT00617825,Venous Insufficiency,Feasibility Study of Cryotherapy for Chronic Venous Disorders,Other,September 2007,August 2009,United States,North America,
105,NCT01407952,Cerebral Aneurysm,Hydrogel Endovascular Aneurysm Treatment Trial,Device,April 2012,March 2018,United States,North America,
106,NCT04514861,Peripheral Artery Disease,Monitoring Local Tissue Oxygen Changes Using the Wireless Lumee Oxygen Platform in Correlation to TcPO2,Device,"December 18, 2020",May 2022,United States,North America,
107,NCT04169490,Scar|Keloid|Hypertrophic Scar|Cicatrix,"""A Clinical Study Investigating the Effectiveness of OTC Scar-management Modalities""",Other,"February 7, 2019","January 27, 2021",United States,North America,
108,NCT02451618,Seizures|Encephalopathy|Asphyxiated Newborn,Novel Epidermal Recording and Detection of Seizures,,"January 27, 2015",,United States,North America,
109,NCT00795106,Myofascial Pain Syndrome,Trial to Evaluate the Efficacy of Topical Capsaicin to Reduce Pain and Improve Health-related Quality of Life in Adults With Chronic Myofascial Neck Pain,Drug,November 2009,November 2010,United States,North America,
110,NCT01368120,Skin Flora Infection,Antimicrobial Activity of IV Clear™ Dressing - Prevention of Antimicrobial Regrowth,Device,April 2011,July 2011,United States,North America,
111,NCT00555646,Plaque Psoriasis,Topical PH-10 Aqueous Hydrogel and Photodynamic Therapy for Psoriasis,Drug,November 2007,July 2009,United States,North America,
112,NCT02164084,Acne Vulgaris,A 2 Period Cross-over Pharmacokinetic Study of SB204 in Acne Vulgaris,Drug,June 2014,December 2014,United States,North America,
113,NCT04058054,Hypersensitivity,Skin Prick Test of KeraStat® Cream,Device,"July 29, 2019","August 2, 2019",United States,North America,
114,NCT03665051,Sarcopenia,Electrical Stimulation of Human Myocytes in Microgravity,Procedure,"January 25, 2019",September 2022,United States,North America,
115,NCT03803059,Wrinkle|Fine Lines,Efficacy and Tolerability of SkinPen on Male and Female Subjects' Fine Lines and Wrinkles of the Face and Neck,Device,"January 31, 2019","January 10, 2020",United States,North America,
116,NCT01905631,Pruritus|Atopic Dermatitis,"Blinded, Randomized Study Evaluating Aurstat Versus Control in the Treatment of Atopic Dermatitis Associated Pruritus",Drug,July 2013,September 2013,United States,North America,
117,NCT00234728,Psoriasis,Study of a New Dressing for Use With Topical Medications,Device,September 2005,June 2007,United States,North America,
118,NCT03640286,Obesity,Vestibular Stimulation to Trigger Adipose Loss (VeSTAL) Clinical Trial,Device,"August 23, 2019",February 2022,United States,North America,
119,NCT00690833,Atopic Dermatitis,Efficacy of Desonide (Desonatetm) Gel 0.05% in Younger and Older Subjects With Atopic Dermatitis,Drug,August 2007,November 2009,United States,North America,
120,NCT02457546,Cerebrospinal Fluid Leak,The EVICEL® Neurosurgery Phase III Study,Biological,"July 1, 2015","October 12, 2017",United States,North America,
121,NCT04150796,Ventral Hernia|Umbilical Hernia|Epigastric Hernia,Comparing eTEP and Laparoscopic Intraperitoneal Onlay Mesh (IPOM) for Ventral Hernias,Procedure,"November 4, 2019","November 4, 2022",United States,North America,
122,NCT01547325,Dehisced Surgical Wounds,Study of NanoDOX Hydrogel vs Placebo for Dehisced Surgical Wounds,Drug,May 2012,August 2013,United States,North America,
123,NCT01062191,Burn,Altrazeal Range of Motion Study Comparing With Typical Carboxymethyl,Device,May 2007,October 2008,United States,North America,
124,NCT02729207,Ankle Sprain,Proof-of-concept Study of NSAID Hydrogel Patch in Treatment of Acute Pain,Drug,June 2016,March 2017,United States,North America,
125,NCT03461783,Wound Infection,Activated Carbon Interphase Effect on Biofilm and Total Bacterial Load,Device,"June 26, 2017","February 1, 2019",United States,North America,
126,NCT01442103,Chronic Wounds,Clinical Utility of a New Silver Gel for Use on Chronic Wounds,Device,September 2011,May 2012,United States,North America,
127,NCT04648631,Hidradenitis Suppurativa,Hidradenitis Suppurativa (HS) Tunneling Wounds,Device,"February 26, 2021","March 1, 2023",United States,North America,
128,NCT02181621,Diabetic Foot Ulcer,A RCT to Compare the Effects of Two Wound Products on Biofilm Disruption in DFUs,Device,August 2014,October 2015,United States,North America,
129,NCT02111291,Diabetic Foot Ulcers|Diabetic Foot Wounds,Santyl Applications to Diabetic Foot Ulcers,Biological,April 2014,December 2015,United States,North America,
130,NCT01353495,Diabetic Foot Ulcers,Acellular Porcine Dermal Matrix Wound Dressing in the Management of Diabetic Foot Ulcers,Device,April 2010,April 2011,United States,North America,
131,NCT01354509,Traumatic Brain Injury,Normothermia Protocol for Traumatic Brain Injury Patients,,May 2011,May 2013,United States,North America,
132,NCT01283906,Oral Mucositis,A Study to Evaluate the Efficacy of MuGard for the Amelioration of Oral Mucositis in Head and Neck Cancer Patients,Device,January 2011,May 2013,United States,North America,
133,NCT01970163,Diabetic Foot Ulcer,DermACELL in Subjects With Chronic Wounds of the Lower Extremities,Other,October 2013,April 2016,United States,North America,
134,NCT00890604,Subarachnoid Hemorrhage|Severe Traumatic Brain Injury,Outcomes Associated With Application of a Normothermia Protocol in Patients With Severe Neurological Insult and Fever,Drug,July 2009,July 2010,United States,North America,
135,NCT04759443,Small Fiber Neuropathy,Detection of Small Fiber Neuropathy Using Skin Properties,Other,"July 1, 2021","February 1, 2023",United States,North America,
136,NCT00780559,Diabetes|Physical Activity,Improving Neuropathy and Mobility in People With Early Diabetes,Behavioral,"November 1, 2009","February 8, 2018",United States,North America,
137,NCT02985710,Small Fiber Neuropathy|Fabry Disease|Ehlers Danlos Syndrome|Mitochondrial Disease,Assessment of Small Fiber Neuropathy in Rare Diseases Using Sudoscan,Device,August 2016,August 2019,United States,North America,
138,NCT04927702,Diabetic Foot Ulcer|Venous Leg Ulcer,Assessment of Wound Closure Comparing Synthetic Hybrid-Scale Fiber Matrix With Lyophilized Acellular Fish Skin in Treating Diabetic Foot Ulcers (DFU) and With Living Cellular Skin Substitute in Treating Venous Leg Ulcers (VLU),Device,"July 19, 2021","July 1, 2023",United States,North America,
139,NCT04872452,Small Fiber Neuropathy|Gastrointestinal Dysmotility,Analysis of Cutaneous Nerve Biopsies in Gastrointestinal Motility Disorders,Procedure,"November 22, 2021","December 31, 2023",United States,North America,
140,NCT01085396,Melanoma,Use of Fiber-optic Probe for Non-invasive Diagnosis of Melanoma and Assessment of Impact of Ultraviolet (UV) Exposure on Skin,,March 2010,October 2014,United States,North America,
141,NCT00697034,Psoriasis,"Effects of Capsaicin on the Structure, Distribution, and Function of Cutaneous Small Nerve Fibers in Psoriatic Skin",Drug,June 2006,December 2008,United States,North America,
142,NCT03912220,Small Fiber Neuropathy,Evaluation of Nicotinamide Riboside in Prevention of Small Fiber Axon Degeneration and Promotion of Nerve Regeneration,Drug,"September 1, 2020","December 31, 2022",United States,North America,
143,NCT00007293,Psoriasis,Scalp Psoriasis Treatment With a Fiber Optic Comb,Device,August 2000,July 2002,United States,North America,
144,NCT02696070,Painful Peripheral Diabetic Neuropathy,Nociceptive Pain Fiber Response,Device,July 2015,December 2016,United States,North America,
145,NCT04153422,Small Fiber Neuropathy|Autoimmune Small Fiber Neuropathy|Inflammatory Polyneuropathy|Immune-Mediated Neuropathy,IVIG in the Treatment of Autoimmune Small Fiber Neuropathy With TS-HDS or FGFR-3 Antibodies,Drug,"January 1, 2022","September 1, 2024",United States,North America,
146,NCT01379716,Postherpetic Neuralgia|Healthy Age/Gender Matched Volunteers,Evaluation of Five Selected Markers in Skin Biopsies of Patients With Postherpetic Neuralgia and Healthy Controls,Other,January 2011,June 2013,United States,North America,
147,NCT00190970,Diabetic Neuropathy,The Effect of Ruboxistaurin on Small Fiber Function,Drug,October 2004,November 2005,United States,North America,
148,NCT01030640,Osteoarthritis Pain|Chronic Low Back Pain|Pain Due to Interstitial Cystitis,Study To Assess Changes In The Number Of Nerves In The Skin At The Site Where Where Tanezumab Is Injected,Other,December 2009,September 2010,United States,North America,
149,NCT03401073,Small Fiber Neuropathy|Idiopathic Peripheral Neuropathy,IVIg for Small Fiber Neuropathy With Autoantibodies TS-HDS and FGFR3,Drug,"September 1, 2018","June 1, 2021",United States,North America,
150,NCT00254449,Human Volunteers,Effect of NGX-4010 on ENFD and Sensory Function,Drug,November 2005,May 2006,United States,North America,
151,NCT03507036,Skin Laxity,Radio Frequency Microneedling for Suprapatellar Skin,Device,"March 15, 2018","May 1, 2019",United States,North America,
152,NCT04065373,Infiltration of Peripheral IV Therapy,ivWatch SmartTouch Sensor: Device Validation for Non-Infiltrated Tissues,Device,"April 25, 2019","June 21, 2019",United States,North America,
