,Rank,NCTId,Condition,BriefTitle,InterventionType,LocationCountry,StartDate
83,84,NCT04522076,COVID 19,Prospective Hospital Registry of Patients With Suspected or Confirmed Coronavirus Infection (COVID-19) and Community-acquired Pneumonia,,Russian Federation|Russian Federation,"April 6, 2020"
84,85,NCT04303507,COVID19|Coronavirus|Acute Respiratory Illnesses,Chloroquine/ Hydroxychloroquine Prevention of Coronavirus Disease (COVID-19) in the Healthcare Setting,Drug|Drug,Bangladesh|Benin|Ethiopia|Ethiopia|Ethiopia|Indonesia|Indonesia|Indonesia|Indonesia|Indonesia|Indonesia|Indonesia|Indonesia|Indonesia|Indonesia|Indonesia|Italy|Kenya|Kenya|Kenya|Lao People's Democratic Republic|Mali|Nepal|Nepal|Niger|Pakistan|Thailand|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|Zambia,"April 29, 2020"
85,86,NCT04328454,Coronavirus,Clinical Characteristics and Prognostic Factors of Patients With COVID-19,Other,China,"January 30, 2020"
86,87,NCT04388605,Corona Virus Infection|COVID|Pregnancy Related|Early Pregnancy,Assessing the Safety of Pregnancy In the CoRonavirus (COVID-19) pandEmic,,United States,"April 21, 2020"
87,88,NCT04723446,Covid19|Coronavirus,Efficacy of Mouthwashes in Reducing Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Viral Load in the Saliva,Drug|Drug|Other|Other,United Kingdom|United Kingdom,"April 20, 2021"
88,89,NCT04319211,Healthy People,"Effects of Social Isolation From Coronavirus; on Physical Activity, Quality of Life and Stress",Other,Turkey,"March 25, 2020"
89,90,NCT04664010,COVID-19,Efficacy and Safety of High-dose Vitamin C Combined With Chinese Medicine Against Coronavirus Pneumonia (COVID-19),Drug|Drug|Drug,China,"February 6, 2020"
90,91,NCT04406246,Coronavirus Infection,Prevention of Coronavirus Disease (COVID-19) Outbreaks With Nitazoxanide,Drug,Mexico,"May 21, 2020"
91,92,NCT04456556,Endophthalmitis and Orbital Cellulitis,Combined Endophthalmitis and Orbital Cellulitis in Patients With Novel Coronavirus Disease (COVID-19),,Egypt,"April 27, 2020"
92,93,NCT04273763,Novel Coronavirus Pneumonia|2019-nCoV,Evaluating the Efficacy and Safety of Bromhexine Hydrochloride Tablets Combined With Standard Treatment/ Standard Treatment in Patients With Suspected and Mild Novel Coronavirus Pneumonia (COVID-19),Drug|Drug|Drug,China,"February 16, 2020"
93,94,NCT04531202,Coronavirus Infection (COVID-19),CORE Study COVID-19,,Brazil,"March 2, 2020"
94,95,NCT04867161,COVID-19 Pneumonia|Superinfection Lung,Superinfection and Hyperinflammatory Phenotype in COVID-19 (Coronavirus Disease 2019) Pneumonia Patients,Diagnostic Test,Czechia,"December 21, 2020"
95,96,NCT04695756,Covid19|Liver Transplant,Liver Transplantation and Coronavirus Disease 2019 (COVID-19),Other,Argentina,"December 15, 2020"
96,97,NCT04351802,COVID-19,CORonavirus (COVID-19) Diagnostic Lung UltraSound Study,Diagnostic Test,United Kingdom,"May 11, 2020"
97,98,NCT04358029,COVID 19 Cardiac|COVID 16 Arrhythmia|COVID 19 Death,Cardiac Arrhythmias In Patients With Coronavirus Disease (COVID-19),,United States,"April 9, 2020"
98,99,NCT04497779,Asymptomatic COVID-19 Infection Laboratory-Confirmed|Symptomatic COVID-19 Infection Laboratory-Confirmed,Analysis of Coronavirus Disease 19 (COVID-19) Convalescent Plasma,Procedure|Other|Other|Other,United States,"July 13, 2020"
99,100,NCT04325672,Coronavirus,Convalescent Plasma to Limit Coronavirus Associated Complications,Biological,,"April 1, 2020"
